"Keyword Version: 23.4","Revision: 2026-03-17T17:34:00.294Z","Timestamp: 2026-03-17 17:35:41","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/sciencekeywords/?format=xml"
"Category","Topic","Term","Variable_Level_1","Variable_Level_2","Variable_Level_3","Detailed_Variable","UUID"
"EARTH SCIENCE","OCEANS","","","","","","91697b7d-8f2b-4954-850e-61d5f61c867d"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","","","","","f27ad52c-3dfd-4788-851a-427e60ae1b8f"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","AQUACULTURE","","","","f6c057c9-c789-4cd5-ba22-e9b08aae152b"
"EARTH SCIENCE","OCEANS","AQUATIC SCIENCES","FISHERIES","","","","fa57b0a0-9723-4195-bdd1-4f26aefa0e07"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","","","","","c16bda61-353b-4668-af2f-bbb98785b6fa"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","ABYSSAL HILLS/PLAINS","","","","0b011562-ee55-4ba0-a026-4faa7493ca5b"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","BATHYMETRY","","","","80d79c7e-6c64-4ada-bfcc-4093969758a5"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","BATHYMETRY","COASTAL BATHYMETRY","","","d80c015f-a383-4883-8309-6aab1c39f5b6"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","CONTINENTAL MARGINS","","","","a91a00f7-05ed-4633-9fac-1772a48b6342"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","FRACTURE ZONES","","","","58c12630-a889-44c1-a951-56bbbe9758c9"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","OCEAN PLATEAUS/RIDGES","","","","73e02157-9df9-415f-93fc-cb457989ddb1"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SEAFLOOR TOPOGRAPHY","","","","b6b51058-1111-4498-a9ac-e1515270fb27"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SEAMOUNTS","","","","83520258-413c-4842-93c0-58a23dc58638"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SUB-BOTTOM PROFILE","","","","8b22d265-0f46-46c1-b307-1957527c13bb"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","SUBMARINE CANYONS","","","","18ce5577-26e9-4b76-860b-1ba31cafa9d0"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","TRENCHES","","","","36040c6a-5e3a-49fe-b519-162fb77a0fd4"
"EARTH SCIENCE","OCEANS","BATHYMETRY/SEAFLOOR TOPOGRAPHY","WATER DEPTH","","","","ca477721-473b-40d7-a72b-4ffa963e48fb"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","","","","","b6fd22ab-dca7-4dfa-8812-913453b5695b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BARRIER ISLANDS","","","","7e28f2e0-a641-4085-be07-366ed6e701f4"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BEACHES","","","","4ba798ce-ad0b-4809-94fa-ec1b8e294252"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","BOTTOM COVER TYPE","","","","22450240-b06c-4954-a8d6-c6b756dab92d"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","COASTAL ELEVATION","","","","1fbf5df2-ab7c-43fc-9bb2-8eb3f8891f7b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","","","","ad497e7a-48fa-45e1-90a5-b052508bdb30"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL BLEACHING","","","f5df87b6-ed50-4da0-9ba5-7ce4c907bdb3"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL REEF ASSESSMENT","","","3edb3342-dab8-41d6-9f6a-28dd448528ec"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","CORAL REEFS","CORAL REEF EXTENT","","","7e24064a-7035-402a-ab9d-fa5e5c359720"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","DELTAS","","","","f9f0f92b-7901-4dda-8d64-be4e845ce29b"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","DUNES","","","","6f7b2753-aed1-4783-a7cc-781d00d13a0f"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","EROSION","","","","cd7a7748-7231-4a73-b85c-b5696066230a"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","ESTUARIES","","","","a7dcdedf-bcc5-4032-b70f-7fadf74d6144"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","FJORDS","","","","a90899c8-fe50-48e0-b92c-bb64f6ae681c"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","INLETS","","","","f43cd776-c568-4d09-997c-0a8ad1022e06"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","INTERTIDAL ZONE","","","","82b62e59-6ea1-48e1-a402-bd386c5046eb"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","LAGOONS","","","","c733c179-c12a-47e9-8e9a-817a5212446f"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","LOCAL SUBSIDENCE TRENDS","","","","5a090f0c-7466-47fd-b679-5dee947ab05c"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","LONGSHORE CURRENTS","","","","ccf07d90-b3a3-43d3-9249-a494bb48d1b6"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","MANGROVES","","","","04c4a85f-91ce-4d64-9e19-b3e0897ff187"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","MARSHES","","","","30056645-a442-4ef6-ac76-c5bc27086d83"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","ROCKY COASTS","","","","488f4df2-712e-4fac-98d1-46ab134b84ee"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SALTWATER INTRUSION","","","","dffe5a35-09af-4413-bdd3-a5aedfeb49cc"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SEA LEVEL RISE","","","","0afaaa5e-f88c-4c1f-95c1-1faa0148885a"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SEA SURFACE HEIGHT","","","","1ed24fe1-d0d5-46d1-8d22-8ac25d289c75"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SEDIMENT TRANSPORT","","","","c5c34f0a-552e-45a6-91c1-9edb3a8deef9"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SEDIMENTATION","","","","9457740a-897b-4adc-96fb-f3e3aafa34ea"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SHOALS","","","","4c2d2255-680d-47d6-adb2-179093593f8a"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SHORELINE DISPLACEMENT","","","","1a740c3e-7032-4f72-93e8-d0ba343d82e0"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SHORELINES","","","","1d3b4eb7-9931-44bf-8457-26847051b7a8"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","SHORELINES","SHORELINE MAPPING","","","3472f70b-874f-4dc5-87db-4b3ebc4b9aaa"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","STORM SURGE","","","","9edd23d0-68a9-4bae-8887-705058f48ba7"
"EARTH SCIENCE","OCEANS","COASTAL PROCESSES","TIDAL HEIGHT","","","","9ab67e8f-066e-47b8-838d-8cd5e7460119"
"EARTH SCIENCE","OCEANS","eds-favorite-ocean","","","","","1110aecb-34ad-4e4b-94c0-3f2e8333fb2f"
"EARTH SCIENCE","OCEANS","GEOLOGICAL FEATURES","","","","","035d870c-9792-4a74-8e02-e03c9a671c8e"
"EARTH SCIENCE","OCEANS","GEOLOGICAL FEATURES","LAND/OCEAN/ICE FRACTION","","","","e63e32cc-896c-47dd-9652-a01ba2ee3334"
"EARTH SCIENCE","OCEANS","GEOLOGICAL FEATURES","LAND/OCEAN/ICE MASK","","","","7a74347d-e372-4048-8012-c9be550e0e5e"
"EARTH SCIENCE","OCEANS","HYDROGRAPHY","","","","","916b2963-6c1d-48ee-8f97-8606febf8db7"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","","","","","ca154e02-a226-4cc7-8e4a-4474e7eb1eeb"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","ENFORCEMENT","","","","43763945-ceea-4716-8e77-068393300a7e"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","MARINE OBSTRUCTIONS","","","","56e4dd42-e393-4aa2-b4d9-9e96d85c9768"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","MARINE SUBMERGED DEBRIS","","","","8e5371ad-4e70-48cf-9109-bfe995b7230c"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","MARINE SURFACE ELEMENTS","","","","e6c6507d-59dd-49f4-9afa-bb7393a718c6"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","MARINE SURFACE ELEMENTS","MARINE SURFACE DEBRIS","","","d594fc9c-556b-4eb5-9ec3-0d2126ca9cd5"
"EARTH SCIENCE","OCEANS","MARINE ENVIRONMENT MONITORING","MARINE SURFACE ELEMENTS","MARINE VESSELS","","","f81de12c-5f0c-4027-8ff1-de84d1bacb60"
"EARTH SCIENCE","OCEANS","MARINE GEOPHYSICS","","","","","bb04ee83-bf49-4f96-898d-20bb6e92bc93"
"EARTH SCIENCE","OCEANS","MARINE GEOPHYSICS","MAGNETIC ANOMALIES","","","","e31f905d-bd2a-4fe9-89d8-909e1d2b9b1a"
"EARTH SCIENCE","OCEANS","MARINE GEOPHYSICS","MARINE GRAVITY FIELD","","","","ad09b215-e837-4d9f-acbc-2b45e5b81825"
"EARTH SCIENCE","OCEANS","MARINE GEOPHYSICS","MARINE MAGNETICS","","","","7863ce31-0e06-42a5-bcf8-25981c44dec8"
"EARTH SCIENCE","OCEANS","MARINE GEOPHYSICS","PLATE TECTONICS","","","","78a4dbe2-2d6b-4562-988c-022c3a83f4c1"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","","","","","ce4b2c6e-3d69-4cf1-8416-c36e5f9b1b2c"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","BIOGENIC SEDIMENTS","","","","ff0108e2-8415-423c-85ed-07792dbef534"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","BIOTURBATION","","","","14c8935f-8a46-4111-8f2e-bec8bbae5d13"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","DIAGENESIS","","","","4bfed15d-b8b4-4fb1-940b-ef342c4c2225"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","GEOTECHNICAL PROPERTIES","","","","d4f4b5d3-27b2-4b7d-bb69-733b67ac687a"
"EARTH SCIENCE","OCEANS","MARINE SEDIMENTS","HYDROGENOUS SEDIMENTS","","","","3d352f0f-f69f-44c4-b345-aa9230fbd6ca"
